ds,Most Likely Case,Worst Case,Best Case
2023-01-06,1006.1773958870546,683.621577552582,1310.9416774396996
2023-01-07,999.942784633267,683.1348016821411,1307.8181565561263
2023-01-08,989.4266138346136,670.0724352548247,1272.6788013555863
2023-01-09,976.1450091943934,663.7218905433776,1293.2650563911493
2023-01-10,962.3205401792247,644.7184606971177,1289.0892745262615
2023-01-11,949.648844291733,616.6581663973824,1268.589722122135
2023-01-12,927.9097692003743,644.1341805082704,1262.2473544168633
2023-01-13,905.3214113475428,573.3511872904716,1201.9434118325726
2023-01-14,891.6560107575585,558.7427363763902,1216.3745182381222
2023-01-15,874.3563119776143,553.2027997544831,1187.5653640288058
2023-01-16,855.1129787303694,528.4002923262319,1178.3508155283753
2023-01-17,836.3089462676694,522.0793901702843,1134.873407994774
2023-01-18,819.7813635087439,516.0236547818031,1144.5746105162862
2023-01-19,795.4284456462912,488.5598296269179,1095.2502833416752
2023-01-20,771.5597423271795,438.3219837506461,1090.0305139790148
2023-01-21,758.0088952597412,447.5835961874395,1094.9036823856952
2023-01-22,742.247593596941,423.59084470877053,1064.1561317495166
2023-01-23,725.9613944190153,395.62104840491116,1034.8558373714468
2023-01-24,711.4933509127667,391.4756196840406,1013.4833962253163
2023-01-25,700.6061359021471,403.29067105060506,1025.2776511925315
2023-01-26,683.0899926702587,353.04961494100223,989.194947150306
2023-01-27,667.115004511315,355.32866683154094,962.611073695681
2023-01-28,662.3467183446054,342.2303858950419,981.2583943558665
2023-01-29,656.0637681395541,333.31121293516946,985.4644062268336
2023-01-30,649.7380802313618,324.876697115711,955.4528300905778
2023-01-31,645.483497330998,312.00658785865204,969.9372023832619
2023-02-01,644.8233852014199,320.9245357954676,975.9184781099241
2023-02-02,637.3044155715867,321.60478733921025,939.7555387551804
2023-02-03,630.8548672879316,300.8773445470616,946.0208904852661
2023-02-04,634.9063244948763,297.889371231813,930.0750773781808
