,ds,y,CPI
0,2012-01-03,12.519281387329102,226.665
1,2012-01-04,12.586559295654297,226.665
2,2012-01-05,12.726290702819824,226.665
3,2012-01-06,12.859332084655762,226.665
4,2012-01-09,12.83893585205078,226.665
5,2012-01-10,12.88490390777588,226.665
6,2012-01-11,12.863901138305664,226.665
7,2012-01-12,12.828584671020508,226.665
8,2012-01-13,12.780485153198242,226.665
9,2012-01-17,12.929353713989258,226.665
10,2012-01-18,13.063608169555664,226.665
11,2012-01-19,13.022205352783203,226.665
12,2012-01-20,12.79539966583252,226.665
13,2012-01-23,13.011855125427246,226.665
14,2012-01-24,12.798750877380373,226.665
15,2012-01-25,13.597890853881836,226.665
16,2012-01-26,13.536090850830078,226.665
17,2012-01-27,13.616766929626465,226.665
18,2012-01-30,13.791204452514648,226.665
19,2012-01-31,13.896849632263184,226.665
20,2012-02-01,13.888016700744627,227.663
21,2012-02-02,13.855443000793455,227.663
22,2012-02-03,13.994267463684082,227.663
23,2012-02-06,14.124865531921388,227.663
24,2012-02-07,14.2728271484375,227.663
25,2012-02-08,14.51180648803711,227.663
26,2012-02-09,15.013818740844728,227.663
27,2012-02-10,15.021428108215332,227.663
28,2012-02-13,15.300899505615234,227.663
29,2012-02-14,15.509739875793455,227.663
30,2012-02-15,15.150818824768066,227.663
31,2012-02-16,15.289030075073242,227.663
32,2012-02-17,15.286285400390623,227.663
33,2012-02-21,15.673834800720217,227.663
34,2012-02-22,15.618725776672363,227.663
35,2012-02-23,15.720718383789062,227.663
36,2012-02-24,15.903985023498535,227.663
37,2012-02-27,16.005970001220703,227.663
38,2012-02-28,16.29974937438965,227.663
39,2012-02-29,16.51376724243164,227.663
40,2012-03-01,16.5755672454834,229.392
41,2012-03-02,16.597185134887695,229.392
42,2012-03-05,16.23125457763672,229.392
43,2012-03-06,16.142972946166992,229.392
44,2012-03-07,16.15605354309082,229.392
45,2012-03-08,16.50006866455078,229.392
46,2012-03-09,16.596879959106445,229.392
47,2012-03-12,16.804813385009766,229.392
48,2012-03-13,17.294944763183594,229.392
49,2012-03-14,17.94887351989746,229.392
50,2012-03-15,17.82649040222168,229.392
51,2012-03-16,17.826797485351562,229.392
52,2012-03-19,18.29958915710449,229.392
53,2012-03-20,18.44753837585449,229.392
54,2012-03-21,18.34220314025879,229.392
55,2012-03-22,18.246004104614254,229.392
56,2012-03-23,18.14584732055664,229.392
57,2012-03-26,18.47859001159668,229.392
58,2012-03-27,18.706918716430664,229.392
59,2012-03-28,18.80251121520996,229.392
60,2012-03-29,18.56627082824707,229.392
61,2012-03-30,18.25240135192871,229.392
62,2012-04-02,18.8332633972168,230.085
63,2012-04-03,19.1587028503418,230.085
64,2012-04-04,19.00617408752441,230.085
65,2012-04-05,19.291439056396484,230.085
66,2012-04-09,19.36906623840332,230.085
67,2012-04-10,19.131914138793945,230.085
68,2012-04-11,19.0637149810791,230.085
69,2012-04-12,18.95929718017578,230.085
70,2012-04-13,18.425317764282227,230.085
71,2012-04-16,17.661178588867188,230.085
72,2012-04-17,18.561397552490234,230.085
73,2012-04-18,18.519994735717773,230.085
74,2012-04-19,17.883726119995117,230.085
75,2012-04-20,17.44350814819336,230.085
76,2012-04-23,17.404544830322266,230.085
77,2012-04-24,17.056882858276367,230.085
78,2012-04-25,18.570533752441406,230.085
79,2012-04-26,18.500507354736328,230.085
80,2012-04-27,18.35742950439453,230.085
81,2012-04-30,17.778392791748047,230.085
82,2012-05-01,17.722078323364258,229.815
83,2012-05-02,17.839275360107422,229.815
84,2012-05-03,17.712635040283203,229.815
85,2012-05-04,17.208192825317383,229.815
86,2012-05-07,17.33696174621582,229.815
87,2012-05-08,17.29738426208496,229.815
88,2012-05-09,17.327831268310547,229.815
89,2012-05-10,17.368619918823242,229.815
90,2012-05-11,17.25263214111328,229.815
91,2012-05-14,16.994171142578125,229.815
92,2012-05-15,16.840429306030273,229.815
93,2012-05-16,16.624584197998047,229.815
94,2012-05-17,16.13870620727539,229.815
95,2012-05-18,16.146623611450195,229.815
96,2012-05-21,17.087318420410156,229.815
97,2012-05-22,16.95610809326172,229.815
98,2012-05-23,17.369842529296875,229.815
99,2012-05-24,17.210315704345703,229.815
100,2012-05-25,17.118072509765625,229.815
101,2012-05-29,17.42189598083496,229.815
102,2012-05-30,17.631959915161133,229.815
103,2012-05-31,17.58812141418457,229.815
104,2012-06-01,17.07849884033203,229.478
105,2012-06-04,17.17896270751953,229.478
106,2012-06-05,17.134517669677734,229.478
107,2012-06-06,17.39724349975586,229.478
108,2012-06-07,17.405155181884766,229.478
109,2012-06-08,17.66696548461914,229.478
110,2012-06-11,17.388416290283203,229.478
111,2012-06-12,17.540325164794922,229.478
112,2012-06-13,17.41855239868164,229.478
113,2012-06-14,17.39936637878418,229.478
114,2012-06-15,17.478515625,229.478
115,2012-06-18,17.833187103271484,229.478
116,2012-06-19,17.88282012939453,229.478
117,2012-06-20,17.831974029541016,229.478
118,2012-06-21,17.58629035949707,229.478
119,2012-06-22,17.721162796020508,229.478
120,2012-06-25,17.376237869262695,229.478
121,2012-06-26,17.414600372314453,229.478
122,2012-06-27,17.48978614807129,229.478
123,2012-06-28,17.323869705200195,229.478
124,2012-06-29,17.779001235961914,229.478
125,2012-07-02,18.038375854492188,229.104
126,2012-07-03,18.24813461303711,229.104
127,2012-07-05,18.568702697753903,229.104
128,2012-07-06,18.445112228393555,229.104
129,2012-07-09,18.68896102905273,229.104
130,2012-07-10,18.51604461669922,229.104
131,2012-07-11,18.400962829589844,229.104
