Date,Open,High,Low,Close,Adj Close,Volume
2018-03-29,127.970001,128.759995,126.820000,128.149994,112.998703,6119400
2018-04-02,127.820000,127.879997,123.540001,124.559998,109.833130,8916900
2018-04-03,125.180000,128.490005,124.680000,128.350006,113.175056,8035000
2018-04-04,126.900002,131.119995,126.389999,130.410004,114.991501,7717100
2018-04-05,130.410004,131.199997,129.500000,130.710007,115.256035,5621700
2018-04-06,130.220001,130.639999,126.410004,128.100006,112.954620,6399300
2018-04-09,128.649994,131.139999,127.680000,129.479996,114.171448,6395800
2018-04-10,130.250000,130.910004,129.289993,130.250000,114.850403,6019300
2018-04-11,129.139999,130.350006,129.029999,129.630005,114.303719,4575400
2018-04-12,130.089996,131.309998,129.860001,130.429993,115.009132,4559800
2018-04-13,131.089996,131.419998,129.630005,130.619995,115.176666,4742300
2018-04-16,131.410004,132.880005,131.279999,131.759995,116.181885,6379600
2018-04-17,132.110001,132.199997,128.809998,130.539993,115.106102,11008700
2018-04-18,129.690002,129.899994,126.940002,127.720001,112.619537,9383600
2018-04-19,127.629997,128.270004,126.889999,127.550003,112.469635,5959500
2018-04-20,128.000000,128.300003,126.169998,126.660004,111.684875,7743900
2018-04-23,126.879997,127.300003,125.779999,126.830002,111.834770,7501900
2018-04-24,126.940002,127.459999,125.309998,126.190002,111.270424,6577500
2018-04-25,125.910004,126.849998,125.279999,126.760002,111.773033,5859600
2018-04-26,126.620003,129.220001,126.620003,128.009995,112.875252,8211100
2018-04-27,127.730003,128.789993,127.500000,128.270004,113.104515,4266800
2018-04-30,128.860001,128.979996,126.489998,126.489998,111.534958,8219400
2018-05-01,126.320000,126.639999,124.970001,126.010002,111.111710,5122600
2018-05-02,125.519997,126.180000,123.199997,123.500000,108.898483,7390800
2018-05-03,123.300003,123.690002,121.279999,123.029999,108.484039,7282900
2018-05-04,122.599998,124.510002,121.800003,124.190002,109.506905,6127600
2018-05-07,124.139999,125.239998,123.320000,123.589996,108.977829,6707900
2018-05-08,122.860001,123.489998,121.690002,122.610001,108.113708,5951800
2018-05-09,122.989998,124.050003,122.529999,123.510002,108.907303,6808600
2018-05-10,124.220001,126.050003,124.000000,125.349998,110.529755,4948000
2018-05-11,125.769997,127.599998,125.760002,127.239998,112.196281,5716700
2018-05-14,127.349998,127.610001,125.599998,126.059998,111.155800,6101600
2018-05-15,125.540001,125.830002,124.400002,125.129997,110.335739,5875700
2018-05-16,125.440002,125.900002,125.000000,125.349998,110.529755,3818100
2018-05-17,125.489998,125.589996,123.550003,123.849998,109.207085,6473400
2018-05-18,123.779999,124.440002,123.279999,124.239998,109.550964,5433900
2018-05-21,124.620003,124.989998,123.320000,123.720001,109.092468,5558700
2018-05-22,123.800003,124.239998,122.760002,122.910004,108.378220,7172700
2018-05-23,122.870003,123.970001,122.739998,123.449997,108.854370,4940800
2018-05-24,123.220001,123.389999,121.550003,122.250000,107.796272,6923600
2018-05-25,121.559998,122.800003,121.129997,121.470001,107.902847,4594800
2018-05-29,120.500000,120.800003,118.620003,119.400002,106.064056,9821900
2018-05-30,120.120003,121.580002,119.540001,120.970001,107.458702,6423700
2018-05-31,120.919998,121.250000,119.540001,119.620003,106.259506,10337500
2018-06-01,120.379997,121.320000,119.970001,121.260002,107.716309,5741000
2018-06-04,121.849998,122.370003,121.019997,121.949997,108.329254,4853000
2018-06-05,122.050003,122.559998,120.900002,121.480003,107.911736,5125400
2018-06-06,121.970001,122.790001,121.459999,122.790001,109.075424,6799300
2018-06-07,123.000000,123.489998,122.269997,123.330002,109.555122,7414100
2018-06-08,123.360001,124.849998,123.330002,124.059998,110.203568,6208100
2018-06-11,124.269997,124.339996,122.550003,122.660004,108.959938,5571400
2018-06-12,123.160004,123.180000,121.949997,122.540001,108.853348,5227300
2018-06-13,123.150002,124.089996,122.459999,122.629997,108.933289,5836900
2018-06-14,122.709999,123.150002,122.089996,122.410004,108.737862,5239200
2018-06-15,122.099998,122.730003,121.239998,122.610001,108.915543,13173500
2018-06-18,121.610001,121.809998,120.250000,121.320000,107.769600,6787400
2018-06-19,120.660004,123.169998,120.570000,122.570000,108.879990,8572400
2018-06-20,122.419998,122.660004,121.660004,122.040001,108.409187,6277200
2018-06-21,121.830002,122.239998,121.110001,121.449997,107.885071,4417200
2018-06-22,121.680000,123.379997,121.650002,122.839996,109.119827,9501400
2018-06-25,122.820000,123.430000,121.510002,122.589996,108.897751,8170500
2018-06-26,122.489998,122.889999,121.599998,122.349998,108.684555,5496400
2018-06-27,122.129997,122.970001,121.449997,121.610001,108.027206,5666000
2018-06-28,121.779999,122.410004,121.070000,122.000000,108.373650,5296800
2018-06-29,122.239998,123.180000,121.190002,121.339996,107.787384,7308700
2018-07-02,121.339996,121.730003,120.110001,121.580002,108.000572,5481400
2018-07-03,121.650002,123.459999,121.260002,122.709999,109.004364,4248100
2018-07-05,123.599998,125.120003,123.230003,125.000000,111.038582,7319100
2018-07-06,125.160004,125.919998,124.610001,125.750000,111.704819,7297900
2018-07-09,126.220001,126.750000,125.599998,126.050003,111.971313,6706100
2018-07-10,126.370003,127.519997,126.110001,127.379997,113.152756,5075600
2018-07-11,127.410004,127.440002,126.059998,126.239998,112.140083,4827400
2018-07-12,127.709999,128.210007,127.169998,127.760002,113.490334,6199000
2018-07-13,125.320000,127.500000,125.320000,125.930000,111.864708,8250200
2018-07-16,126.000000,126.099998,124.160004,124.690002,110.763214,7314400
2018-07-17,128.529999,130.539993,127.559998,129.110001,114.689537,12858700
2018-07-18,128.809998,129.050003,127.169998,127.800003,113.525841,7152000
2018-07-19,127.529999,127.699997,125.870003,125.940002,111.873604,5984600
2018-07-20,125.300003,126.139999,125.120003,125.849998,111.793633,5835500
2018-07-23,125.750000,126.680000,125.449997,126.629997,112.486526,4631100
2018-07-24,127.239998,129.619995,127.150002,129.360001,114.911613,7158800
2018-07-25,129.139999,129.229996,127.650002,128.619995,114.254265,6523000
2018-07-26,129.899994,131.220001,129.850006,130.279999,115.728859,7640600
2018-07-27,129.979996,132.270004,129.940002,131.550003,116.857002,6620400
2018-07-30,131.779999,132.490005,131.250000,132.169998,117.407761,11013100
2018-07-31,132.279999,132.639999,131.770004,132.520004,117.718666,7598900
2018-08-01,132.389999,132.960007,132.080002,132.639999,117.825272,5770400
2018-08-02,132.889999,133.000000,131.089996,131.250000,116.590508,6563300
2018-08-03,131.179993,132.699997,130.899994,131.949997,117.212341,6498700
2018-08-06,131.639999,132.529999,131.009995,132.020004,117.274513,5840000
2018-08-07,131.880005,132.169998,131.300003,131.460007,116.777061,4664600
2018-08-08,131.490005,131.800003,130.889999,131.169998,116.519447,3721500
2018-08-09,131.539993,131.720001,130.669998,131.199997,116.546097,4057800
2018-08-10,131.190002,131.630005,130.259995,130.750000,116.146355,4324000
2018-08-13,130.720001,130.899994,129.850006,130.220001,115.675545,3778000
2018-08-14,129.669998,130.470001,129.350006,129.500000,115.035973,4542800
2018-08-15,129.750000,130.740005,128.929993,130.429993,115.862106,5377300
2018-08-16,131.020004,132.880005,130.570007,132.479996,117.683136,7861500
2018-08-17,132.449997,135.000000,132.190002,134.470001,119.450874,6700900
2018-08-20,134.929993,137.119995,134.000000,136.880005,121.591721,7935000
2018-08-21,137.000000,137.429993,135.300003,135.350006,120.232590,5832100
