Date,CPI
2011-09-11,226.597
2011-09-12,226.597
2011-09-13,226.597
2011-09-14,226.597
2011-09-15,226.597
2011-09-16,226.597
2011-09-17,226.597
2011-09-18,226.597
2011-09-19,226.597
2011-09-20,226.597
2011-09-21,226.597
2011-09-22,226.597
2011-09-23,226.597
2011-09-24,226.597
2011-09-25,226.597
2011-09-26,226.597
2011-09-27,226.597
2011-09-28,226.597
2011-09-29,226.597
2011-09-30,226.597
2011-10-01,226.75
2011-10-02,226.75
2011-10-03,226.75
2011-10-04,226.75
2011-10-05,226.75
2011-10-06,226.75
2011-10-07,226.75
2011-10-08,226.75
2011-10-09,226.75
2011-10-10,226.75
2011-10-11,226.75
2011-10-12,226.75
2011-10-13,226.75
2011-10-14,226.75
2011-10-15,226.75
2011-10-16,226.75
2011-10-17,226.75
2011-10-18,226.75
2011-10-19,226.75
2011-10-20,226.75
2011-10-21,226.75
2011-10-22,226.75
2011-10-23,226.75
2011-10-24,226.75
2011-10-25,226.75
2011-10-26,226.75
2011-10-27,226.75
2011-10-28,226.75
2011-10-29,226.75
2011-10-30,226.75
2011-10-31,226.75
2011-11-01,227.169
2011-11-02,227.169
2011-11-03,227.169
2011-11-04,227.169
2011-11-05,227.169
2011-11-06,227.169
2011-11-07,227.169
2011-11-08,227.169
2011-11-09,227.169
2011-11-10,227.169
2011-11-11,227.169
2011-11-12,227.169
2011-11-13,227.169
2011-11-14,227.169
2011-11-15,227.169
2011-11-16,227.169
2011-11-17,227.169
2011-11-18,227.169
2011-11-19,227.169
2011-11-20,227.169
2011-11-21,227.169
2011-11-22,227.169
2011-11-23,227.169
2011-11-24,227.169
2011-11-25,227.169
2011-11-26,227.169
2011-11-27,227.169
2011-11-28,227.169
2011-11-29,227.169
2011-11-30,227.169
2011-12-01,227.223
2011-12-02,227.223
2011-12-03,227.223
2011-12-04,227.223
2011-12-05,227.223
2011-12-06,227.223
2011-12-07,227.223
2011-12-08,227.223
2011-12-09,227.223
2011-12-10,227.223
2011-12-11,227.223
2011-12-12,227.223
2011-12-13,227.223
2011-12-14,227.223
2011-12-15,227.223
2011-12-16,227.223
2011-12-17,227.223
2011-12-18,227.223
2011-12-19,227.223
2011-12-20,227.223
2011-12-21,227.223
2011-12-22,227.223
2011-12-23,227.223
2011-12-24,227.223
2011-12-25,227.223
2011-12-26,227.223
2011-12-27,227.223
2011-12-28,227.223
2011-12-29,227.223
2011-12-30,227.223
2011-12-31,227.223
2012-01-01,227.842
2012-01-02,227.842
2012-01-03,227.842
2012-01-04,227.842
2012-01-05,227.842
2012-01-06,227.842
2012-01-07,227.842
2012-01-08,227.842
2012-01-09,227.842
2012-01-10,227.842
2012-01-11,227.842
2012-01-12,227.842
2012-01-13,227.842
2012-01-14,227.842
2012-01-15,227.842
2012-01-16,227.842
2012-01-17,227.842
2012-01-18,227.842
2012-01-19,227.842
2012-01-20,227.842
2012-01-21,227.842
2012-01-22,227.842
2012-01-23,227.842
2012-01-24,227.842
2012-01-25,227.842
2012-01-26,227.842
2012-01-27,227.842
2012-01-28,227.842
2012-01-29,227.842
2012-01-30,227.842
2012-01-31,227.842
2012-02-01,228.329
2012-02-02,228.329
2012-02-03,228.329
2012-02-04,228.329
2012-02-05,228.329
2012-02-06,228.329
2012-02-07,228.329
2012-02-08,228.329
2012-02-09,228.329
2012-02-10,228.329
2012-02-11,228.329
2012-02-12,228.329
2012-02-13,228.329
2012-02-14,228.329
2012-02-15,228.329
2012-02-16,228.329
2012-02-17,228.329
2012-02-18,228.329
2012-02-19,228.329
2012-02-20,228.329
2012-02-21,228.329
2012-02-22,228.329
2012-02-23,228.329
2012-02-24,228.329
2012-02-25,228.329
2012-02-26,228.329
2012-02-27,228.329
2012-02-28,228.329
2012-02-29,228.329
2012-03-01,228.807
2012-03-02,228.807
2012-03-03,228.807
2012-03-04,228.807
2012-03-05,228.807
2012-03-06,228.807
2012-03-07,228.807
2012-03-08,228.807
2012-03-09,228.807
2012-03-10,228.807
2012-03-11,228.807
2012-03-12,228.807
2012-03-13,228.807
2012-03-14,228.807
2012-03-15,228.807
2012-03-16,228.807
2012-03-17,228.807
2012-03-18,228.807
2012-03-19,228.807
2012-03-20,228.807
2012-03-21,228.807
2012-03-22,228.807
2012-03-23,228.807
2012-03-24,228.807
2012-03-25,228.807
2012-03-26,228.807
2012-03-27,228.807
2012-03-28,228.807
2012-03-29,228.807
2012-03-30,228.807
2012-03-31,228.807
2012-04-01,229.187
2012-04-02,229.187
2012-04-03,229.187
2012-04-04,229.187
2012-04-05,229.187
2012-04-06,229.187
2012-04-07,229.187
2012-04-08,229.187
2012-04-09,229.187
2012-04-10,229.187
2012-04-11,229.187
2012-04-12,229.187
2012-04-13,229.187
2012-04-14,229.187
2012-04-15,229.187
2012-04-16,229.187
